Top_HTC,Bottom_HTC,Ramp1,Hold1,Ramp2,Exotherm,Lag
100,30,5,115,1,2.372436,28.4461301
100,30,5,120,1,2.206262,28.6111293
100,30,5,125,1,2.019674,28.7450309
100,30,5,105,2,9.165559,28.0046312
100,30,5,110,2,8.534495,28.2458104
100,30,5,115,2,7.766794,28.4685879
100,30,5,120,2,6.856077,28.6111293
100,30,5,125,2,5.828866,28.759745
100,30,5,105,3,11.704496,28.0372376
100,30,5,110,3,11.000148,28.2458104
100,30,5,115,3,10.112119,28.4685879
100,30,5,120,3,9.003774,28.6294945
100,30,5,125,3,7.689734,28.7450309
100,30,5,105,4,12.638772,28.0046312
100,30,5,110,4,11.935905,28.2729578
100,30,5,115,4,11.031843,28.4461301
100,30,5,120,4,9.891182,28.6294945
100,30,5,125,4,8.501999,28.7450309
100,30,5,105,5,13.062937,28.0046312
100,30,5,110,5,12.368908,28.2729578
100,30,5,115,5,11.470986,28.4461301
100,30,5,120,5,10.328496,28.6294945
100,30,5,125,5,8.918698,28.7450309
100,5,1,105,1,3.416803,9.1526046
100,5,1,110,1,3.141651,9.1526046
100,5,1,115,1,2.833873,9.1526046
100,5,1,120,1,2.496004,9.1526046
100,5,1,125,1,2.579113,9.1526046
100,5,1,105,2,10.466776,14.977955
100,5,1,110,2,9.493541,14.206125
100,5,1,115,2,8.315587,13.240996
100,5,1,120,2,6.964102,12.090807
100,5,1,125,2,5.515466,10.895585
100,5,1,105,3,12.584885,22.189126
100,5,1,110,3,11.54989,21.197771
100,5,1,115,3,10.256348,19.993792
100,5,1,120,3,8.690541,18.595473
100,5,1,125,3,6.921255,17.184329
100,5,1,105,4,13.324292,29.072891
100,5,1,110,4,12.294314,27.874727
100,5,1,115,4,10.992924,26.444994
100,5,1,120,4,9.39164,24.822209
100,5,1,125,4,7.533023,23.157373
100,5,1,105,5,13.655889,35.244538
100,5,1,110,5,12.644385,33.828325
100,5,1,115,5,11.35112,32.091416
100,5,1,120,5,9.743222,30.083933
100,5,1,125,5,7.853921,27.824827
100,5,2,105,1,3.568819,18.0261851
100,5,2,110,1,3.321469,18.0261851
100,5,2,115,1,3.040627,18.0261851
